lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
0,0,-3.942,0,3.912,-0.054,-0.441,-0.517,-0.025,-1.001,
0,0,-3.846,0,3.132,-0.082,-0.419,1.046,0.02,-0.944,
0,0,-3.3,0,2.028,0.102,-0.419,1.015,0.031,-1.071,
0,0,-2.352,0,0.498,-0.06,-0.419,1.255,-0.008,-0.9,
0,0,-0.966,0,-1.332,-0.032,-0.43,1.199,0.031,-0.074,
0,0,0.954,0,-2.73,0.017,-0.43,0.023,0.003,-0.068,
0,0,2.442,0,-3.558,-0.023,-0.43,0.12,-0.036,-0.177,
0,0,3.402,0,-3.924,-0.114,-0.43,0.162,0.009,-0.565,
0,0,3.942,0,-3.93,0.003,-0.419,-0.399,-0.019,1.393,
0,0,3.774,0,-3.234,-0.068,-0.419,-1.25,-0.014,1.102,
0,0,3.012,0,-2.028,0.034,-0.441,-0.947,-0.008,1.145,
0,0,1.77,0,-0.39,0.034,-0.43,-1.204,-0.047,-0.049,
0,0,0.06,0,1.422,-0.015,-0.419,0.195,0.003,-0.053,
0,0,-1.77,0,2.826,0.008,-0.441,-0.27,-0.019,-0.021,
0,0,-2.976,0,3.606,-0.001,-0.419,-0.067,0.003,0.025,
0,0,-3.606,0,3.924,-0.037,-0.43,-0.043,0.003,-0.029,
0,0,-3.942,0,3.87,-0.046,-0.43,0.784,0.031,-1.057,
0,0,-3.732,0,3.33,0.008,-0.43,1.01,-0.002,-0.979,
0,0,-3.042,0,2.388,0.121,-0.441,0.904,0.026,-1.155,
0,0,-1.812,0,0.882,-0.037,-0.419,1.239,-0.042,-1.1,
0,0,-0.174,0,-0.99,-0.009,-0.419,0.175,0.014,0.011,
0,0,1.914,0,-2.772,0.071,-0.408,0.229,-0.002,-0.132,
0,0,3.282,0,-3.726,0.039,-0.43,0.141,-0.025,-0.08,
0,0,3.906,0,-3.93,0.025,-0.43,-1.091,0.003,1.274,
0,0,3.792,0,-3.444,0.039,-0.408,-1.332,0.031,1.037,
0,0,3.054,0,-2.394,0.071,-0.419,-0.993,-0.014,0.964,
0,0,1.8,0,-0.81,0.116,-0.419,-1.001,-0.008,1.228,
0,0,-0.156,0,1.26,0.017,-0.43,0.052,0.026,0.092,
0,0,-1.98,0,2.784,0.057,-0.419,-0.321,0.003,-0.056,
0,0,-3.288,0,3.696,-0.02,-0.419,-0.23,0.02,-0.141,
0,0,-3.9,0,3.948,0.079,-0.419,-0.546,-0.008,-1.027,
0,0,-3.858,0,3.192,-0.051,-0.43,1.074,0.014,-1.088,
0,0,-3.078,0,1.824,0.071,-0.43,0.869,-0.025,-1.215,
0,0,-1.638,0,-0.138,-0.029,-0.419,1.182,-0.008,-0.005,
0,0,0.438,0,-2.124,-0.046,-0.419,0.031,0.009,-0.1,
0,0,2.154,0,-3.222,-0.037,-0.441,0.299,-0.031,-0.25,
0,0,3.222,0,-3.804,-0.037,-0.43,0.115,0.026,-0.075,
