count, lifter pos (mm), left pedal pos (mm), left slider pos (mm), right pedal pos (mm), right slider pos (mm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
205,2.202,0,0,-0.009,-0.006,1.271,0.015,0.21,-0.005,0.001,
206,2.202,0,0,-0.009,-0.006,1.335,0.004,0.221,-0.005,0.001,
207,2.202,0,0,-0.009,-0.006,1.335,0.004,0.221,0.04,0.052,
208,2.347,0,0,-0.009,-0.006,1.335,0.004,0.221,0.04,0.052,
209,2.347,0,0,-0.009,-0.006,1.245,-0.007,0.176,0.04,0.052,
210,2.347,0,0,-0.009,-0.006,1.245,-0.007,0.176,0.001,0.041,
211,2.347,0,0,-0.009,-0.006,1.245,-0.007,0.176,0.001,0.041,
212,2.5,0,0,-0.009,-0.006,1.245,-0.007,0.176,0.001,0.041,
213,2.5,0,0,-0.009,-0.006,1.316,-0.007,0.176,0.001,0.041,
214,2.5,0,0,-0.009,-0.006,1.316,-0.007,0.204,0.029,-0.01,
215,2.632,0,0,-0.009,-0.006,1.316,-0.007,0.204,0.029,-0.01,
216,2.632,0,0,-0.009,-0.006,1.366,-0.007,0.204,0.029,-0.01,
217,2.632,0,0,-0.009,-0.006,1.366,-0.007,0.171,0.001,0.057,
218,2.759,0,0,-0.009,-0.006,1.366,-0.007,0.171,0.001,0.057,
219,2.759,0,0,-0.009,-0.006,1.228,-0.007,0.171,0.001,0.057,
220,2.759,0,0,-0.009,-0.006,1.228,0.004,0.154,0.012,0.007,
221,2.885,0,0,-0.009,-0.006,1.228,0.004,0.154,0.012,0.007,
222,2.885,0,0,-0.009,-0.006,1.218,0.004,0.154,0.012,0.007,
223,2.885,0,0,-0.009,-0.006,1.218,-0.007,0.182,-0.016,0.007,
224,2.885,0,0,-0.009,-0.006,1.218,-0.007,0.182,-0.016,0.007,
225,3.019,0,0,-0.009,-0.006,1.218,-0.007,0.182,-0.016,0.007,
226,3.019,0,0,-0.009,-0.006,1.218,-0.007,0.182,-0.016,0.007,
227,3.019,0,0,-0.009,-0.006,1.317,-0.007,0.182,-0.016,0.007,
228,3.019,0,0,-0.009,-0.006,1.317,0.004,0.171,0.023,0.007,
229,3.199,0,0,-0.009,-0.006,1.317,0.004,0.171,0.023,0.007,
230,3.199,0,0,-0.009,-0.006,1.216,0.004,0.171,0.023,0.007,
231,3.199,0,0,-0.009,-0.006,1.216,-0.007,0.21,0.023,0.012,
232,3.199,0,0,-0.009,-0.006,1.216,-0.007,0.21,0.023,0.012,
233,3.331,0,0,-0.009,-0.006,1.189,-0.007,0.21,0.023,0.012,
234,3.331,0,0,-0.009,-0.006,1.189,0.015,0.154,0.023,0.012,
235,3.455,0,0,-0.009,-0.006,1.189,0.015,0.154,0.023,0.012,
236,3.455,0,0,-0.009,-0.006,1.126,0.015,0.154,0.023,0.012,
237,3.455,0,0,-0.009,-0.006,1.126,0.004,0.204,0.023,0.063,
238,3.574,0,0,-0.009,-0.006,1.126,0.004,0.204,0.023,0.063,
239,3.574,0,0,-0.009,-0.006,1.126,0.004,0.204,0.023,0.063,
240,3.574,0,0,-0.009,-0.006,1.007,-0.007,0.165,0.001,0.063,
241,3.574,0,0,-0.009,-0.006,1.007,-0.007,0.165,0.001,0.018,
242,3.704,0,0,-0.009,-0.006,1.007,-0.007,0.165,0.001,0.018,
243,3.704,0,-0.006,-0.009,-0.006,1.007,-0.007,0.165,0.001,0.018,
244,3.704,0,-0.006,-0.009,-0.006,1.228,0.015,0.328,0.001,0.018,
245,3.704,0,-0.006,-0.009,-0.006,1.228,0.015,0.328,-0.011,0.041,
246,3.878,0,-0.006,-0.009,-0.006,1.228,0.015,0.328,-0.011,0.041,
247,3.878,0,-0.006,-0.009,-0.006,1.103,0.015,0.328,-0.011,0.041,
248,3.878,0,-0.006,-0.009,-0.006,1.103,-0.007,0.294,-0.022,0.012,
249,3.878,0,-0.006,-0.009,-0.006,1.103,-0.007,0.294,-0.022,0.012,
250,4.024,0,-0.006,-0.009,-0.006,1.103,-0.007,0.294,-0.022,0.012,
251,4.024,0,-0.006,-0.009,-0.012,0.943,-0.007,0.294,-0.022,0.012,
252,4.024,0,-0.006,-0.009,-0.012,0.943,-0.007,0.367,0.012,0.08,
253,4.178,0,-0.006,-0.009,-0.012,0.943,-0.007,0.367,0.012,0.08,
254,4.178,0,-0.006,-0.009,-0.012,1.065,-0.007,0.367,0.012,0.08,
255,4.178,0,-0.006,-0.009,-0.012,1.065,0.004,0.345,0.012,0.08,
256,4.178,0,-0.006,-0.009,-0.012,1.065,0.004,0.345,0.012,0.08,
257,4.178,0,-0.006,-0.009,-0.012,1.065,0.004,0.345,0.012,0.08,
258,4.352,0,-0.006,-0.009,-0.012,1.065,0.004,0.345,0.012,0.08,
259,4.352,0,-0.006,-0.009,-0.012,1.166,-0.007,0.334,0.012,0.08,
260,4.352,0,-0.006,-0.009,-0.012,1.166,-0.007,0.334,-0.033,0.102,
261,4.492,0,-0.006,-0.009,-0.012,1.166,-0.007,0.334,-0.033,0.102,
262,4.492,0,-0.006,-0.009,-0.012,1.083,0.015,0.334,-0.033,0.102,
263,4.492,0,-0.006,-0.009,-0.012,1.083,0.015,0.407,0.001,0.114,
264,4.631,0,-0.006,-0.009,-0.012,1.083,0.015,0.407,0.001,0.114,
265,4.631,0,-0.006,-0.009,-0.012,1.083,0.015,0.407,0.001,0.114,
266,4.631,0,-0.006,-0.009,-0.012,1.166,0.025,0.356,0.001,0.114,
267,4.631,0,-0.006,-0.009,-0.012,1.166,0.025,0.356,0.012,0.046,
268,4.776,0,-0.006,-0.009,-0.012,1.166,0.025,0.356,0.012,0.046,
269,4.776,0,-0.006,-0.009,-0.006,0.978,0.025,0.356,0.012,0.046,
270,4.776,0,-0.006,-0.009,-0.006,0.978,-0.007,0.39,0.006,0.057,
271,4.911,0,-0.006,-0.009,-0.006,0.978,-0.007,0.39,0.006,0.057,
272,4.911,0,-0.006,-0.009,-0.006,0.978,-0.007,0.39,0.006,0.057,
273,4.911,0,-0.006,-0.009,-0.006,0.978,-0.007,0.39,0.006,0.057,
274,4.911,0,-0.006,-0.009,-0.006,1.215,-0.007,0.39,0.006,0.057,
275,4.911,0,-0.006,-0.009,-0.006,1.215,-0.007,0.424,0.051,0.057,
276,4.911,0,-0.006,-0.009,-0.006,1.215,-0.007,0.424,0.051,0.069,
277,5.115,0,-0.006,-0.009,-0.006,1.215,-0.007,0.424,0.051,0.069,
278,5.115,0,-0.006,-0.009,-0.006,1.058,-0.007,0.424,0.051,0.069,
279,5.115,0,-0.006,-0.009,-0.006,1.058,-0.007,0.48,0.029,0.08,
280,5.258,0,-0.006,-0.009,-0.006,1.058,-0.007,0.48,0.029,0.08,
281,5.258,0,-0.006,-0.009,-0.006,1.058,-0.007,0.48,0.029,0.08,
282,5.258,0,-0.006,-0.009,-0.006,1.152,0.004,0.452,0.001,0.08,
283,5.258,0,-0.006,-0.009,-0.006,1.152,0.004,0.452,0.001,0.052,
284,5.412,0,-0.006,-0.009,-0.006,1.152,0.004,0.452,0.001,0.052,
285,5.412,0,-0.006,-0.009,-0.006,1.062,0.004,0.452,0.001,0.052,
286,5.412,0,-0.006,-0.009,-0.006,1.062,0.004,0.452,0.006,0.052,
287,5.412,0,-0.006,-0.009,-0.006,1.062,0.004,0.452,0.006,0.052,
288,5.556,0,0,-0.009,-0.006,1.062,0.004,0.452,0.006,0.052,
289,5.556,0,0,-0.009,-0.006,1.042,-0.007,0.362,0.006,0.052,
290,5.556,0,0,-0.009,-0.006,1.042,-0.007,0.362,0.012,0.069,
291,5.556,0,0,-0.009,-0.006,1.042,-0.007,0.362,0.012,0.069,
292,5.721,0,0,-0.009,-0.006,1.042,-0.007,0.362,0.012,0.069,
293,5.721,0,0,-0.009,-0.006,1.227,0.004,0.362,0.012,0.069,
294,5.721,0,0,-0.009,-0.006,1.227,0.004,0.351,0.012,0.08,
295,5.861,0,0,-0.009,-0.006,1.227,0.004,0.351,0.012,0.08,
296,5.861,0,0,-0.009,-0.006,1.227,0.004,0.351,0.012,0.08,
297,5.861,0,0,-0.009,-0.006,1.118,-0.007,0.339,0.012,0.08,
298,5.861,0,0,-0.009,-0.006,1.118,-0.007,0.339,0.006,0.057,
299,6.011,0,0,-0.009,-0.006,1.118,-0.007,0.339,0.006,0.057,
