count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
321,0.25,0,0,0,0,-0.333,0,0,0,0,
322,0.25,0,0,0,0,-0.333,0,0,0,0,
323,0.2,0,0,0,0,-0.241,0,0,0,0,
324,0.2,0,0,0,0,-0.241,0,0,0,0,
325,0.17,0,0,0,0,-0.241,0,0,0,0,
326,0.17,0,0,0,0,-0.218,0,0,0,0,
327,0.17,0,0,0,0,-0.218,0,0,0,0,
328,0.13,0,0,0,0,-0.277,0,0,0,0,
329,0.13,0,0,0,0,-0.277,0,0,0,0,
330,0.1,0,0,0,0,-0.3,0,0,0,0,
331,0.1,0,0,0,0,-0.3,0,0,0,0,
332,0.07,0,0,0,0,-0.3,0,0,0,0,
333,0.07,0,0,0,0,-0.274,0,0,0,0,
334,0.07,0,0,0,0,-0.274,0,0,0,0,
335,0.05,0,0,0,0,-0.259,0,0,0,0,
336,0.05,0,0,0,0,-0.259,0,0,0,0,
337,0.03,0,0,0,0,-0.305,0,0,0,0,
338,0.03,0,0,0,0,-0.305,0,0,0,0,
339,0.01,0,0,0,0,-0.305,0,0,0,0,
340,0.01,0,0,0,0,-0.342,0,0,0,0,
341,0.01,0,0,0,0,-0.342,0,0,0,0,
342,0,0,0,0,0,-0.399,0,0,0,0,
343,0,0,0,0,0,-0.399,0,0,0,0,
344,0,0,0,0,0,-0.375,0,0,0,0,
345,0,0,0,0,0,-0.375,0,0,0,0,
346,0,0,0,0,0,-0.368,0,0,0,0,
347,0,0,0,0,0,-0.368,0,0,0,0,
348,0,0,0,0,0,-0.368,0,0,0,0,
349,0,0,0,0,0,-0.495,0,0,0,0,
350,0,0,0,0,0,-0.495,0,0,0,0,
351,0,0,0,0,0,-0.628,0,0,0,0,
352,0,0,0,0,0,-0.628,0,0,0,0,
353,0,0,0,0,0,-0.863,0,0,0,0,
