count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
2.08,2.24,0,0,0,0,0.31,0,0,0,0
2.09,2.16,0,0,0,0,0.271,0,0,0,0
2.1,2.16,0,0,0,0,0.271,0,0,0,0
2.11,2.08,0,0,0,0,0.344,0,0,0,0
2.12,2.08,0,0,0,0,0.344,0,0,0,0
2.13,2,0,0,0,0,0.342,0,0,0,0
2.14,2,0,0,0,0,0.342,0,0,0,0
2.15,1.92,0,0,0,0,0.342,0,0,0,0
2.16,1.92,0,0,0,0,0.355,0,0,0,0
2.17,1.92,0,0,0,0,0.355,0,0,0,0
2.18,1.85,0,0,0,0,0.147,0,0,0,0
2.19,1.85,0,0,0,0,0.147,0,0,0,0
2.2,1.77,0,0,0,0,0.345,0,0,0,0
2.21,1.77,0,0,0,0,0.345,0,0,0,0
2.22,1.69,0,0,0,0,0.294,0,0,0,0
2.23,1.69,0,0,0,0,0.294,0,0,0,0
2.24,1.69,0,0,0,0,0.294,0,0,0,0
2.25,1.62,0,0,0,0,-0.077,0,0,0,0
2.26,1.62,0,0,0,0,-0.077,0,0,0,0
2.27,1.54,0,0,0,0,-0.095,0,0,0,0
2.28,1.54,0,0,0,0,-0.095,0,0,0,0
2.29,1.47,0,0,0,0,0.007,0,0,0,0
2.3,1.47,0,0,0,0,0.007,0,0,0,0
2.31,1.4,0,0,0,0,0.007,0,0,0,0
2.32,1.4,0,0,0,0,0.025,0,0,0,0
2.33,1.4,0,0,0,0,0.025,0,0,0,0
2.34,1.32,0,0,0,0,-0.029,0,0,0,0
2.35,1.32,0,0,0,0,-0.029,0,0,0,0
2.36,1.25,0,0,0,0,0.041,0,0,0,0
2.37,1.25,0,0,0,0,0.041,0,0,0,0
2.38,1.25,0,0,0,0,0.041,0,0,0,0
2.39,1.18,0,0,0,0,0.047,0,0,0,0
2.4,1.18,0,0,0,0,0.047,0,0,0,0
2.41,1.12,0,0,0,0,-0.09,0,0,0,0
2.42,1.12,0,0,0,0,-0.09,0,0,0,0
2.43,1.05,0,0,0,0,0.038,0,0,0,0
2.44,1.05,0,0,0,0,0.038,0,0,0,0
2.45,1.05,0,0,0,0,0.038,0,0,0,0
2.46,0.99,0,0,0,0,0.024,0,0,0,0
2.47,0.99,0,0,0,0,0.024,0,0,0,0
2.48,0.93,0,0,0,0,-0.039,0,0,0,0
2.49,0.93,0,0,0,0,-0.039,0,0,0,0
2.5,0.87,0,0,0,0,-0.01,0,0,0,0
2.51,0.87,0,0,0,0,-0.01,0,0,0,0
2.52,0.82,0,0,0,0,-0.01,0,0,0,0
2.53,0.82,0,0,0,0,-0.07,0,0,0,0
2.54,0.82,0,0,0,0,-0.07,0,0,0,0
2.55,0.77,0,0,0,0,-0.022,0,0,0,0
2.56,0.77,0,0,0,0,-0.022,0,0,0,0
2.57,0.71,0,0,0,0,-0.077,0,0,0,0
2.58,0.71,0,0,0,0,-0.077,0,0,0,0
2.59,0.66,0,0,0,0,-0.077,0,0,0,0
2.6,0.66,0,0,0,0,-0.055,0,0,0,0
