count, Stick Right Slider (10cm), left pedal pos (cm), left slider pos (cm), right pedal pos (cm), right slider pos (cm), current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A)
2.98,0.44,0,0,0,0,-3.206,0,0,0,0,
2.99,0.44,0,0,0,0,-3.206,0,0,0,0,
3,0.55,0,0,0,0,-3.292,0,0,0,0,
3.01,0.55,0,0,0,0,-3.292,0,0,0,0,
3.02,0.67,0,0,0,0,-3.292,0,0,0,0,
3.03,0.67,0,0,0,0,-2.646,0,0,0,0,
3.04,0.67,0,0,0,0,-2.646,0,0,0,0,
3.05,0.82,0,0,0,0,-1.424,0,0,0,0,
3.06,0.82,0,0,0,0,-1.424,0,0,0,0,
3.07,0.96,0,0,0,0,-0.954,0,0,0,0,
3.08,0.96,0,0,0,0,-0.954,0,0,0,0,
3.09,1.11,0,0,0,0,-0.954,0,0,0,0,
3.1,1.11,0,0,0,0,-0.269,0,0,0,0,
3.11,1.11,0,0,0,0,-0.269,0,0,0,0,
3.12,1.26,0,0,0,0,-0.435,0,0,0,0,
3.13,1.26,0,0,0,0,-0.435,0,0,0,0,
3.14,1.41,0,0,0,0,-0.22,0,0,0,0,
3.15,1.41,0,0,0,0,-0.22,0,0,0,0,
3.16,1.41,0,0,0,0,-0.22,0,0,0,0,
3.17,1.56,0,0,0,0,-0.271,0,0,0,0,
3.18,1.56,0,0,0,0,-0.271,0,0,0,0,
3.19,1.71,0,0,0,0,-0.182,0,0,0,0,
3.2,1.71,0,0,0,0,-0.182,0,0,0,0,
3.21,1.86,0,0,0,0,-0.299,0,0,0,0,
3.22,1.86,0,0,0,0,-0.299,0,0,0,0,
3.23,1.86,0,0,0,0,-0.299,0,0,0,0,
3.24,2.01,0,0,0,0,2.641,0,0,0,0,
3.25,2.01,0,0,0,0,2.641,0,0,0,0,
3.26,2.14,0,0,0,0,2.378,0,0,0,0,
3.27,2.14,0,0,0,0,2.378,0,0,0,0,
3.28,2.26,0,0,0,0,1.984,0,0,0,0,
3.29,2.26,0,0,0,0,1.984,0,0,0,0,
3.3,2.26,0,0,0,0,1.984,0,0,0,0,
3.31,2.36,0,0,0,0,1.348,0,0,0,0,
3.32,2.36,0,0,0,0,1.348,0,0,0,0,
3.33,2.46,0,0,0,0,0.962,0,0,0,0,
3.34,2.46,0,0,0,0,0.962,0,0,0,0,
3.35,2.54,0,0,0,0,0.874,0,0,0,0,
3.36,2.54,0,0,0,0,0.874,0,0,0,0,
3.37,2.62,0,0,0,0,0.874,0,0,0,0,
3.38,2.62,0,0,0,0,1.082,0,0,0,0,
3.39,2.62,0,0,0,0,1.082,0,0,0,0,
3.4,2.69,0,0,0,0,0.945,0,0,0,0,
3.41,2.69,0,0,0,0,0.945,0,0,0,0,
3.42,2.75,0,0,0,0,0.835,0,0,0,0,
3.43,2.75,0,0,0,0,0.835,0,0,0,0,
3.44,2.81,0,0,0,0,0.835,0,0,0,0,
3.45,2.81,0,0,0,0,0.981,0,0,0,0,
3.46,2.81,0,0,0,0,0.981,0,0,0,0,
3.47,2.86,0,0,0,0,1.148,0,0,0,0,
3.48,2.86,0,0,0,0,1.148,0,0,0,0,
3.49,2.9,0,0,0,0,1.099,0,0,0,0,
3.5,2.9,0,0,0,0,1.099,0,0,0,0,
3.51,2.94,0,0,0,0,0.962,0,0,0,0,
3.52,2.94,0,0,0,0,0.962,0,0,0,0,
3.53,2.94,0,0,0,0,0.962,0,0,0,0,
3.54,2.94,0,0,0,0,0.962,0,0,0,0,
3.55,2.98,0,0,0,0,0.033,0,0,0,0,
3.56,2.98,0,0,0,0,0.033,0,0,0,0,
3.57,3,0,0,0,0,-0.031,0,0,0,0,
3.58,3,0,0,0,0,-0.031,0,0,0,0,
3.59,3.01,0,0,0,0,0.073,0,0,0,0,
3.6,3.01,0,0,0,0,0.073,0,0,0,0,
3.61,3.01,0,0,0,0,0.073,0,0,0,0,
3.62,3.03,0,0,0,0,0.145,0,0,0,0,
3.63,3.03,0,0,0,0,0.145,0,0,0,0,
3.64,3.04,0,0,0,0,0.148,0,0,0,0,
3.65,3.04,0,0,0,0,0.148,0,0,0,0,
3.66,3.06,0,0,0,0,0.088,0,0,0,0,
3.67,3.06,0,0,0,0,0.088,0,0,0,0,
3.68,3.06,0,0,0,0,0.088,0,0,0,0,
3.69,3.07,0,0,0,0,0.126,0,0,0,0,
3.7,3.07,0,0,0,0,0.126,0,0,0,0,
3.71,3.08,0,0,0,0,0.039,0,0,0,0,
3.72,3.08,0,0,0,0,0.039,0,0,0,0,
3.73,3.08,0,0,0,0,0.13,0,0,0,0,
3.74,3.08,0,0,0,0,0.13,0,0,0,0,
3.75,3.09,0,0,0,0,0.154,0,0,0,0,
3.76,3.09,0,0,0,0,0.154,0,0,0,0,
3.77,3.09,0,0,0,0,0.154,0,0,0,0,
3.78,3.09,0,0,0,0,0.086,0,0,0,0,
